word,associates,part_no,scores,ospan,math,strict,ravens
body,31,p88,9,70,97,55,18
bouquet,3,p88,10,70,97,55,18
break,26,p88,13,70,97,55,18
bum,21,p88,6,70,97,55,18
car,25,p88,10,70,97,55,18
casual,20,p88,10,70,97,55,18
challenge,21,p88,3,70,97,55,18
chauffeur,5,p88,2,70,97,55,18
chowder,4,p88,10,70,97,55,18
cinema,4,p88,5,70,97,55,18
closed,5,p88,15,70,97,55,18
cloth,21,p88,12,70,97,55,18
common,23,p88,10,70,97,55,18
computer,33,p88,5,70,97,55,18
corpse,3,p88,10,70,97,55,18
dancer,23,p88,7,70,97,55,18
dangerous,22,p88,100,70,97,55,18
difficult,3,p88,10,70,97,55,18
melody,5,p88,100,70,97,55,18
meow,3,p88,3,70,97,55,18
organize,23,p88,14,70,97,55,18
patience,21,p88,5,70,97,55,18
peaceful,20,p88,5,70,97,55,18
pupil,4,p88,8,70,97,55,18
racket,3,p88,13,70,97,55,18
